date,new_deaths,X7_day_ma_deaths,new_cases,X7_day_ma_cases,total_cases,total_deaths,oil_price,treasury_10_2_spread,avg_hourly_wages,cpi_energy,cpi_food,housing_price_index,black_ur,pce_inflation,total_population,u6,ur,real_gdp,public_debt
1/1/2019,NA,NA,NA,NA,NA,NA,#N/A,#N/A,27.6,-11.332,4.147,8.102,7,2,327776.541,8,4,18833.195,22027880
1/2/2019,NA,NA,NA,NA,NA,NA,54.06,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/3/2019,NA,NA,NA,NA,NA,NA,53.23,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/4/2019,NA,NA,NA,NA,NA,NA,55.64,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/7/2019,NA,NA,NA,NA,NA,NA,57.1,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/8/2019,NA,NA,NA,NA,NA,NA,56.91,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/9/2019,NA,NA,NA,NA,NA,NA,59.46,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/10/2019,NA,NA,NA,NA,NA,NA,60.47,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/11/2019,NA,NA,NA,NA,NA,NA,59.24,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/14/2019,NA,NA,NA,NA,NA,NA,58.8,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/15/2019,NA,NA,NA,NA,NA,NA,58.65,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/16/2019,NA,NA,NA,NA,NA,NA,59.81,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/17/2019,NA,NA,NA,NA,NA,NA,59.85,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/18/2019,NA,NA,NA,NA,NA,NA,62.04,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
