observation_date,cpi_food,treasury_10_2_spread,avg_hourly_wages,cpi_energy,oil_price,pce_inflation,gdp,housing_price_index,total_population,u6,ur,black_ur,public_debt,net_worth_bottom_50,asset_share_bottom_50
1/1/2010,0.004,2.800,22.437,30.320,76.418,1.630,268.584,-3.945,2624.667,1.900,1.567,16.467,12773123.000,335867.000,7.300
4/1/2010,1.431,2.619,22.517,21.733,78.489,1.519,443.856,-1.590,2375.782,0.467,0.333,15.767,13201792.000,238109.000,7.200
7/1/2010,2.331,2.246,22.627,8.447,76.823,1.331,509.635,-4.149,2264.000,0.000,-0.167,15.833,13561622.000,312480.000,7.100
10/1/2010,3.168,2.391,22.743,12.590,86.540,1.042,428.840,-5.869,2168.484,-0.433,-0.433,15.767,14025215.000,312464.000,7.000
1/1/2011,4.911,2.764,22.863,23.216,105.450,1.140,313.852,-5.693,2073.836,-0.867,-0.800,15.700,14270114.000,258715.000,6.800
4/1/2011,7.340,2.640,22.973,41.547,117.012,1.450,271.211,-6.114,2223.382,-0.733,-0.567,16.333,14343087.000,182621.000,6.600
7/1/2011,9.497,2.135,23.093,38.713,113.235,1.749,144.402,-4.767,2231.702,-0.467,-0.467,16.067,14790340.000,276842.000,6.800
10/1/2011,9.787,1.783,23.200,24.771,109.421,1.794,240.707,-5.111,2216.148,-1.167,-0.867,15.200,15222940.000,371055.000,6.800
1/1/2012,8.310,1.750,23.290,14.037,118.711,1.991,410.057,-3.518,2207.816,-1.133,-0.767,13.867,15606518.000,391884.000,6.500
4/1/2012,6.286,1.536,23.413,-5.625,107.750,1.833,376.887,0.300,2207.041,-1.300,-0.867,13.767,15855037.000,379392.000,6.500
7/1/2012,4.512,1.383,23.523,-3.358,109.628,1.674,411.467,3.016,2195.964,-1.433,-0.967,13.867,16066240.000,457950.000,6.400
10/1/2012,4.057,1.440,23.640,3.965,110.148,1.766,251.333,7.184,2198.745,-1.133,-0.833,13.800,16432730.000,547060.000,6.400
1/1/2013,3.719,1.688,23.780,1.267,112.443,1.546,261.517,11.138,2162.985,-0.667,-0.533,13.500,16771381.000,505228.000,6.200
4/1/2013,3.396,1.716,23.910,-1.243,102.565,1.443,210.676,12.856,2131.763,-0.700,-0.667,13.633,16738320.000,549789.000,6.100
7/1/2013,3.286,2.341,24.023,-0.326,110.229,1.547,312.592,14.679,2134.281,-1.067,-0.800,12.800,16738180.000,632764.000,6.100
10/1/2013,2.802,2.417,24.140,-6.380,109.226,1.602,412.725,15.469,2152.756,-1.133,-0.867,12.333,17156119.000,626114.000,5.900
1/1/2014,3.337,2.391,24.280,0.970,108.142,1.550,212.762,14.336,2209.867,-1.600,-1.067,12.000,17601227.000,642462.000,5.800
