"date","avg_hourly_wages","cpi_energy","cpi_food","housing_price_index","black_ur","pce_inflation","total_population","u6","ur","real_gdp","public_debt"
"1/1/2012",23.24,15.618,9.396,-4.877,13.6,2.005,313149.997,15.1,8.3,16179.968,15606518
"2/1/2012",23.27,16.83,8.369,-3.747,14,1.973,313304.12,15,8.3,NA,NA
"3/1/2012",23.36,9.663,7.165,-1.929,14,1.995,313462.838,14.6,8.2,NA,NA
"4/1/2012",23.39,1.7,6.754,-0.687,13.3,1.922,313628.923,14.7,8.2,16253.726,15855037
"5/1/2012",23.39,-8.938,6.082,0.36,13.5,1.79,313790.652,14.8,8.2,NA,NA
"6/1/2012",23.46,-9.637,6.021,1.227,14.5,1.786,313976.041,14.7,8.2,NA,NA
"7/1/2012",23.51,-12.619,5.279,1.941,14.2,1.744,314167.558,14.7,8.2,16282.151,16066240
"8/1/2012",23.49,-1.893,4.531,2.919,13.8,1.611,314377.381,14.6,8.1,NA,NA
"9/1/2012",23.57,4.437,3.725,4.188,13.6,1.668,314600.057,14.8,7.8,NA,NA
"10/1/2012",23.56,9.362,3.918,5.556,14.1,1.863,314805.556,14.4,7.8,16300.035,16432730
"11/1/2012",23.63,1.179,4.124,7.294,13.3,1.763,315003.708,14.4,7.7,NA,NA
"12/1/2012",23.73,1.355,4.129,8.701,14,1.672,315180.866,14.4,7.9,NA,NA
"1/1/2013",23.76,0.149,3.729,10.146,13.7,1.583,315335.976,14.5,8,16441.485,16771381
"2/1/2013",23.77,6.798,3.8,11.169,13.8,1.566,315464.793,14.3,7.7,NA,NA
"3/1/2013",23.81,-3.147,3.628,12.099,13,1.49,315605.141,13.9,7.5,NA,NA
"4/1/2013",23.87,-9.204,3.64,12.496,13.3,1.417,315759.039,14,7.6,16464.402,16738320
"5/1/2013",23.89,-1.338,3.26,12.81,13.4,1.425,315923.105,13.9,7.5,NA,NA
"6/1/2013",23.97,6.814,3.288,13.262,14.2,1.488,316108.76,14.2,7.5,NA,NA
"7/1/2013",23.98,9.418,3.381,14.013,12.6,1.514,316294.766,13.8,7.3,16594.743,16738180
"8/1/2013",24.03,-0.154,3.299,14.7,12.8,1.569,316514.531,13.6,7.2,NA,NA
"9/1/2013",24.06,-10.242,3.178,15.324,13,1.559,316738.543,13.5,7.2,NA,NA
"10/1/2013",24.09,-14.063,2.999,15.592,12.8,1.533,316952.905,13.6,7.2,16712.76,17156119
"11/1/2013",24.16,-6.101,2.795,15.403,12.3,1.603,317156.876,13.1,6.9,NA,NA
"12/1/2013",24.17,1.025,2.612,15.412,11.9,1.669,317338.617,13.1,6.7,NA,NA
"1/1/2014",24.21,5.315,2.557,15.06,12.1,1.555,317519.206,12.6,6.6,16654.247,17601227
"2/1/2014",24.32,-5.771,3.344,14.716,11.8,1.497,317677.384,12.6,6.7,NA,NA
"3/1/2014",24.31,3.366,4.11,13.233,12.1,1.599,317838.92,12.7,6.7,NA,NA
"4/1/2014",24.34,9.391,4.421,12.004,11.6,1.716,318009.154,12.3,6.2,16868.109,17632606
"5/1/2014",24.4,8.745,5.72,10.826,11.4,1.789,318187.658,12.3,6.3,NA,NA
"6/1/2014",24.45,7.003,5.433,9.783,11,1.742,318380.521,12,6.1,NA,NA
"7/1/2014",24.48,5.758,5.75,8.845,11.6,1.802,318576.955,12.1,6.2,17064.616,17824071
"8/1/2014",24.56,0.866,6.098,8.05,11.4,1.723,318806.531,12,6.1,NA,NA
"9/1/2014",24.56,-1.135,6.684,7.564,11,1.737,319036.2,11.7,5.9,NA,NA
"10/1/2014",24.58,-4.893,6.807,7.354,10.6,1.614,319262.799,11.5,5.7,17141.235,18141444
"11/1/2014",24.65,-13.702,7.211,7.297,10.9,1.546,319471.435,11.4,5.8,NA,NA
"12/1/2014",24.65,-27.197,7.707,7.184,10.6,1.504,319651.541,11.2,5.6,NA,NA
"1/1/2015",24.73,-50.414,7.347,6.885,10.3,1.39,319832.19,11.2,5.7,17280.647,18152056
"2/1/2015",24.78,-46.904,6.809,6.764,10.1,1.431,319976.213,10.9,5.5,NA,NA
"3/1/2015",24.84,-44.204,5.445,6.905,9.9,1.396,320130.646,10.9,5.4,NA,NA
"4/1/2015",24.89,-46.287,4.62,7.004,9.7,1.377,320300.314,10.9,5.4,17380.875,18151998
"5/1/2015",24.96,-40.24,3.779,7.169,10.3,1.324,320480.147,10.9,5.6,NA,NA
"6/1/2015",24.98,-37.699,4.166,7.241,9.7,1.331,320667.889,10.4,5.3,NA,NA
"7/1/2015",25.01,-37.121,3.85,7.363,9.1,1.234,320870.703,10.3,5.2,17437.08,18150618
"8/1/2015",25.1,-37.12,3.79,7.493,9.4,1.271,321093.062,10.2,5.1,NA,NA
"9/1/2015",25.11,-44.364,3.836,7.811,9.3,1.278,321316.348,10,5,NA,NA
"10/1/2015",25.2,-41.445,3.788,8.15,9,1.2,321539.88,9.8,5,17462.579,18922179
"11/1/2015",25.24,-33.902,2.969,8.497,9.4,1.2,321741.248,10,5.1,NA,NA
"12/1/2015",25.27,-28.393,1.921,8.669,8.5,1.172,321926.178,9.9,5,NA,NA
"1/1/2016",25.36,-14.691,2.203,8.797,8.5,1.388,322114.094,9.7,4.8,17565.465,19264939
"2/1/2016",25.39,-26.62,2.188,8.656,8.6,1.449,322277.451,9.6,4.9,NA,NA
"3/1/2016",25.45,-23.523,2.014,8.518,8.9,1.441,322428.943,9.8,5,NA,NA
"4/1/2016",25.53,-16.864,2.291,8.532,8.8,1.53,322596.809,9.9,5.1,17618.581,19381591
"5/1/2016",25.57,-20.377,1.689,8.499,8.2,1.563,322773.714,9.9,4.8,NA,NA
"6/1/2016",25.63,-19.116,0.909,8.471,8.7,1.566,322960.309,9.5,4.9,NA,NA
"7/1/2016",25.69,-22.577,0.673,8.528,8.2,1.654,323161.011,9.6,4.8,17724.489,19573445
"8/1/2016",25.72,-19.807,0.184,8.722,8,1.777,323369.427,9.6,4.9,NA,NA
"9/1/2016",25.77,-5.003,-0.456,8.904,8.5,1.765,323576.012,9.7,5,NA,NA
"10/1/2016",25.88,0.363,-0.692,8.973,8.5,1.908,323783.987,9.6,4.9,17812.56,19976827
"11/1/2016",25.91,1.258,-0.55,9.092,8.2,1.849,323968.882,9.4,4.7,NA,NA
"12/1/2016",25.94,9.37,-0.231,9.288,8,1.92,324135.365,9.2,4.7,NA,NA
"1/1/2017",26.03,20.134,-0.067,9.622,7.5,2,324296.746,9.2,4.7,17896.623,19846420
"2/1/2017",26.08,27.732,0.269,9.745,8,1.988,324427.384,9,4.6,NA,NA
"3/1/2017",26.11,20.294,1.321,9.931,7.8,1.786,324559.999,8.8,4.4,NA,NA
"4/1/2017",26.17,16.241,1.475,10.047,7.7,1.801,324704.641,8.6,4.4,17996.802,19844554
"5/1/2017",26.21,9.853,2.136,10.198,7.7,1.751,324861.316,8.5,4.4,NA,NA
"6/1/2017",26.26,4.909,2.099,10.36,6.9,1.799,325027.016,8.5,4.3,NA,NA
